#solver it r/r0
          12         8.2933176345E-10    3.2955170881E-16
          13         1.0145152984E-09    4.0313812270E-16
          14         2.8613987780E-11    1.1370345360E-17
          15         1.1348273898E-13    4.5094655963E-20
step       22 0.220000E+05
nlit      1
           1         7.7739733477E+05    2.6447337333E-01
           2         7.5039219100E+05    2.5528612615E-01
           3         8.0693198255E+00    2.7452116688E-06
           4         4.8839431446E+00    1.6615350489E-06
           5         2.9834468439E+01    1.0149793621E-05
           6         1.4939479907E-04    5.0824648737E-11
           7         3.0859187756E-04    1.0498406824E-10
           8         6.4801417759E-06    2.2045675724E-12
           9         3.4441970690E-08    1.1717282482E-14
          10         8.2615351047E-09    2.8106039991E-15
          11         7.8939648736E-11    2.6855552826E-17
          12         1.1774370300E-09    4.0056831852E-16
          13         2.5164290031E-09    8.5609821058E-16
          14         4.1299283706E-10    1.4050165069E-16
          15         5.3981204506E-14    1.8364600203E-20
step       23 0.230000E+05
nlit      1
           1         8.4017791723E+05    2.4471126430E-01
           2         8.1099198998E+05    2.3621053486E-01
           3         4.4108091275E+00    1.2846977480E-06
           4         2.6696327980E+00    7.7756056641E-07
           5         1.6307938620E+01    4.7498704690E-06
           6         4.8931596734E-05    1.4251877674E-11
           7         1.0108310303E-04    2.9441590208E-11
           8         2.1238096257E-06    6.1858343094E-13
           9         8.1419443328E-09    2.3714328247E-15
          10         2.2707369340E-09    6.6137766135E-16
          11         4.6989309429E-10    1.3686164660E-16
          12         2.7988264126E-09    8.1518965917E-16
          13         1.6568521403E-09    4.8257681344E-16
          14         1.4185938640E-10    4.1318141179E-17
          15         1.2966265380E-14    3.7765705684E-21
step       24 0.240000E+05
nlit      1
           1         9.0802830091E+05    2.2642582083E-01
           2         8.7648544561E+05    2.1856029847E-01
           3         2.4110098226E+00    6.0120910059E-07
           4         1.4592593148E+00    3.6388071587E-07
           5         8.9141471145E+00    2.2228305829E-06
           6         1.6071082835E-05    4.0074831576E-12
           7         3.3157368059E-05    8.2681170529E-12
           8         6.9714568150E-07    1.7384015786E-13
           9         3.4622584168E-08    8.6334831544E-15
          10         8.4557561796E-09    2.1085262781E-15
          11         7.1565599388E-11    1.7845588698E-17
          12         1.3211724512E-10    3.2944739325E-17
          13         4.1374753843E-10    1.0317203320E-16
          14         1.8939794264E-10    4.7228246721E-17
          15         4.9359193542E-15    1.2308202181E-21
step       25 0.250000E+05
nlit      1
           1         9.8135798241E+05    2.0950670791E-01
           2         9.4726784373E+05    2.0222892259E-01
           3         1.3178923719E+00    2.8135226611E-07
           4         7.9765172147E-01    1.7028789618E-07
           5         4.8725874659E+00    1.0402317781E-06
           6         5.3167336054E-06    1.1350509951E-12
           7         1.1095343810E-05    2.3687064216E-12
           8         2.4592851465E-07    5.2502424610E-14
           9         1.6752809830E-08    3.5764991966E-15
          10         3.4047042131E-08    7.2685847968E-15
          11         2.1017581191E-10    4.4869704252E-17
          12         4.7456745959E-09    1.0131375902E-15
          13         1.5202092222E-09    3.2454418794E-16
          14         6.3634462653E-12    1.3585100462E-18
          15         3.7711781338E-15    8.0509572442E-22
step       26 0.260000E+05
nlit      1
           1         1.0606094940E+06    1.9385183228E-01
           2         1.0237663518E+06    1.8711786407E-01
           3         7.2037832392E-01    1.3166642277E-07
           4         4.3600761093E-01    7.9690852048E-08
           5         2.6634555522E+00    4.8681040658E-07
           6         1.8334396248E-06    3.3510508123E-13
           7         3.5965934389E-06    6.5736374419E-13
           8         9.0899191343E-08    1.6614008166E-14
           9         2.7397799563E-08    5.0076052269E-15
          10         1.2618305254E-08    2.3062980368E-15
          11         1.7669669613E-10    3.2295560710E-17
          12         1.1222649979E-08    2.0512085493E-15
          13         1.7371992576E-09    3.1751484502E-16
          14         1.1620445438E-10    2.1239152136E-17
          15         5.9791068980E-16    1.0928252426E-22
step       27 0.270000E+05
nlit      1
           1         1.1462610868E+06    1.7936672802E-01
           2         1.1064426120E+06    1.7313594026E-01
           3         3.9376893486E-01    6.1616891869E-08
           4         2.3832785016E-01    3.7293498985E-08
           5         1.4558863593E+00    2.2781683478E-07
           6         5.2044848421E-07    8.1439684892E-14
           7         1.0422978039E-06    1.6309857227E-13
           8         4.3635595149E-08    6.8280900546E-15
           9         2.0702826352E-08    3.2395745316E-15
          10         2.0434462507E-08    3.1975810056E-15
          11         9.6579399618E-11    1.5112727024E-17
          12         1.3218717664E-10    2.0684625548E-17
          13         4.7683205749E-10    7.4614594309E-17
          14         2.4775747808E-10    3.8769045461E-17
          15         6.1923012632E-16    9.6897018423E-23
step       28 0.280000E+05
nlit      1
           1         1.2388296241E+06    1.6596398736E-01
           2         1.1957955350E+06    1.6019878053E-01
           3         2.1523966439E-01    2.8835307331E-08
           4         1.3027338827E-01    1.7452513682E-08
           5         7.9580774128E-01    1.0661306716E-07
           6         4.3518061185E-07    5.8300437898E-14
           7         4.4742828546E-06    5.9941238786E-13
           8         5.7863537292E-08    7.7518838629E-15
           9         1.4119942630E-08    1.8916257204E-15
          10         1.1476374258E-08    1.5374711706E-15
          11         6.7606405174E-10    9.0571200072E-17
          12         5.8773329911E-09    7.8737672984E-16
          13         2.5782290619E-09    3.4540114890E-16
          14         1.1408699412E-10    1.5284048817E-17
          15         7.8537541378E-17    1.0521546524E-23
step       29 0.290000E+05
nlit      1
           1         1.3388737035E+06    1.5356273357E-01
           2         1.2923643157E+06    1.4822831800E-01
           3         1.1765309306E-01    1.3494275476E-08
           4         7.1209334227E-02    8.1673872528E-09
           5         4.3498387680E-01    4.9890675276E-08
           6         6.1930860236E-07    7.1031884224E-14
           7         1.0057110170E-07    1.1535048642E-14
           8         2.4253150458E-08    2.7817262167E-15
           9         2.0058269116E-08    2.3005923770E-15
          10         3.4150174858E-09    3.9168699700E-16
          11         6.1281196201E-10    7.0286749080E-17
          12         1.4852049693E-08    1.7034626522E-15
          13         4.1289805431E-09    4.7357531735E-16
          14         1.1218618913E-10    1.2867246422E-17
          15         1.0696631755E-15    1.2268550857E-22
step       30 0.300000E+05
nlit      1
           1         1.4469970307E+06    1.4208813311E-01
           2         1.3967316888E+06    1.3715231883E-01
           3         6.4310730099E-02    6.3150036830E-09
           4         3.8924003293E-02    3.8221494885E-09
           5         2.3779539330E-01    2.3350361319E-08
           6         1.1141543667E-06    1.0940458798E-13
           7         4.1418291777E-07    4.0670765938E-14
           8         8.0732416145E-08    7.9275340913E-15
           9         2.0933823722E-08    2.0556005771E-15
          10         2.3607967334E-09    2.3181885890E-16
          11         3.7717749337E-10    3.7037011648E-17
          12         1.0020467152E-09    9.8396157023E-17
          13         3.7070501971E-09    3.6401445936E-16
          14         3.1492143570E-11    3.0923766893E-18
          15         3.3417686757E-16    3.2814557481E-23
step       31 0.310000E+05
nlit      1
           1         1.5638520628E+06    1.3147094411E-01
           2         1.5095274471E+06    1.2690394657E-01
           3         3.5153210033E-02    2.9552831892E-09
           4         2.1276392577E-02    1.7886777695E-09
           5         1.2997884615E-01    1.0927147155E-08
           6         8.5745751427E-07    7.2085302452E-14
           7         9.5505866608E-05    8.0290500296E-12
           8         4.6972741152E-08    3.9489353076E-15
           9         7.1768682153E-09    6.0334967896E-16
          10         1.7529160869E-09    1.4736530288E-16
          11         6.0037151258E-10    5.0472427319E-17
          12         3.9061003438E-09    3.2838061363E-16
          13         2.3010332229E-09    1.9344477489E-16
          14         1.0801447553E-10    9.0806319945E-18
          15         3.1182961975E-16    2.6215097633E-23
step       32 0.320000E+05
nlit      1
           1         1.6901439465E+06    1.2164709864E-01
           2         1.6314322422E+06    1.1742135887E-01
           3         1.9215367574E-02    1.3830145766E-09
           4         1.1630057119E-02    8.3706639810E-10
           5         7.0992777747E-02    5.1096626740E-09
           6         1.9534994622E-06    1.4060195421E-13
           7         4.0555098072E-07    2.9189289029E-14
           8         9.1572432726E-08    6.5908710198E-15
           9         8.0713942744E-08    5.8093377045E-15
          10         1.8936243582E-08    1.3629247945E-15
          11         2.4502182330E-10    1.7635299034E-17
          12         2.6902931670E-09    1.9363223998E-16
          13         2.3265335267E-07    1.6745085766E-14
          14         6.7873841860E-10    4.8851791309E-17
          15         9.8935827252E-17    7.1208469323E-24
step       33 0.330000E+05
nlit      1
           1         1.8266347736E+06    1.1255731604E-01
           2         1.7631816928E+06    1.0864733437E-01
           3         1.0503338851E-02    6.4721620740E-10
           4         6.3571290696E-03    3.9172657618E-10
           5         3.8823138454E-02    2.3922835193E-09
           6         1.5902834058E-06    9.7993334235E-14
           7         1.9109175175E-06    1.1775082247E-13
           8         8.0052270367E-08    4.9328244625E-15
           9         3.8928180654E-08    2.3987562243E-15
          10         1.1103151779E-08    6.8417670673E-16
          11         1.8227203703E-10    1.1231611033E-17
          12         7.2141139861E-08    4.4453402487E-15
          13         2.3945773786E-09    1.4755396463E-16
          14         5.0360380185E-10    3.1032088682E-17
